,tweet,name
64,The Future of Aging Just Might Be in Margaritaville   via @NYTimes https://t.co/PRH9aKnNmG,Miles S. Nadal
65,"RT @CNBC: Amazon says it will bring 50,000 jobs to its two new headquarters. Here's how you can land a job there. via @CNBCMakeIt https://t…",Miles S. Nadal
66,"RT @HarvardBiz: Learning something new is often awkward and messy
https://t.co/62p8U71TSZ",Miles S. Nadal
67,RT @Sports_Greats: You can't let other people tell you who you are. You have to decide that for yourself.,Miles S. Nadal
68,RT @Sports_Greats: Sometimes the biggest problem is in your head. You've got to believe. -Jack Nicklaus,Miles S. Nadal
69,?@Kohler? David Kohler’s insight into how the Kohler company became one of the 25 most important consumer brands in… https://t.co/h6kBqT7kIC,Miles S. Nadal
70,"Awesome event at Dare to Dream Museum, ?@PeerageCapital? ?@PeerageRealty? hosting David Kohler ?@Kohler? ?… https://t.co/WXeRAsaBqg",Miles S. Nadal
71,"RT @SeaShepherdSSCS: Fin Whale, Mountain Gorilla recovering thanks to conservation action &amp;ndash; IUCN Red List - IUCN https://t.co/qNXumOd…",Miles S. Nadal
72,Bank of Canada survey finds fears of economic slump on the rise https://t.co/4dLTqup4BV,Miles S. Nadal
73,Billionaire Cohen Says Bear Market Coming Within Two Years - Bloomberg ?@business?  https://t.co/IXBIOaau48,Miles S. Nadal
74,The David Rubenstein Show: Alan Greenspan ?@business? ?@BloombergTV?  https://t.co/9aaADiAPJC,Miles S. Nadal
75,Billionaire Cohen Says Bear Market Coming Within Two Years  https://t.co/IXBIOaau48,Miles S. Nadal
76,Ralph Lauren: First American designer knighted by the Queen https://t.co/L8AtwJJtl7,Miles S. Nadal
77,"AI, automation and the mobile internet are powering a new Industrial Revolution. Here’s what it looks like by the n… https://t.co/TSNk8Oamyo",Miles S. Nadal
78,"RT @VanityFair: Marvel’s greatest showman was always misunderstood—by those who inflated his importance, and those who dismissed him as a b…",Miles S. Nadal
79,Brookfield and Caisse team up to buy battery business  https://t.co/gshKNveJyW,Miles S. Nadal
80,Toronto’s Dye &amp; Durham postpones IPO https://t.co/nZpLwZw5w7,Miles S. Nadal
81,RT @WSJmarkets: Companies are using cash freed up by tax overhaul to pay down debt  https://t.co/0qEeWEhB6m,Miles S. Nadal
82,RT @Forbes: Oil plunges 6% after Trump dealt a blow to Saudi Arabia and Russia's attempt to push up oil prices https://t.co/yPlm1GWDwt http…,Miles S. Nadal
83,Disney's Bob Iger May Have Missed His Shot at $60 Million Bonus  https://t.co/7yBDyOaecD,Miles S. Nadal
84,RT @Sports_Greats: Don't let what you cannot do interfere with what you can do. - John Wooden,Miles S. Nadal
85,RT @BloorStCulture: The @MilesNadalJCC #windowsofhope project is about spreading messages of love and hope. Join this neighbourhood project…,Miles S. Nadal
86,RT @MilesNadalJCC: We had an extra special guest come in today for a visit. Thanks @milesnadal (our philanthropist and namesake!) for stopp…,Miles S. Nadal
87,"RT @PeerageCapital: Amazon Splits Coveted ‘HQ2’ Between New York and Washington

https://t.co/7D96habzA4 https://t.co/7nfIOAQZqu",Miles S. Nadal
88,https://t.co/A8RaUmNZBL,Miles S. Nadal
89,"RT @timkiladze: Acquirers are paying top-dollar for asset managers, so no surprise that Mawer is considering a sale. Whether Canada will be…",Miles S. Nadal
90,RT @SeanSilcoff: It’s rare to see Canadian corporations investing in early-stage tech firms. Now Dream has joined that short list: Dream re…,Miles S. Nadal
91,"RT @HarvardBiz: How male allies can better support women, and how organizations can help
https://t.co/pGGSauTsNk",Miles S. Nadal
92,"Can the co-working revolution in office real estate survive a market downturn?, via @FinancialPost https://t.co/UmII9GnhJB",Miles S. Nadal
93,"Investors are spending hundreds of millions to short cannabis stocks, despite huge losses, via ?@financialpost?  https://t.co/px3Pphnnf1",Miles S. Nadal
94,RT @CNBCnow: BREAKING: Amazon settles on New York City and Northern Virginia for its second headquarters; formal announcement to come as ea…,Miles S. Nadal
95,"RT @Sports_Greats: Concentrate on your strengths instead of your weaknesses, on your powers instead of your problems. -Paul J. Meyer",Miles S. Nadal
96,Citron’s Andrew Left bearish on Canadian cannabis producers https://t.co/YZKzHCFVoZ,Miles S. Nadal
97,NHL reaches tentative settlement with retired players in concussion lawsuit https://t.co/YSHlgKN9TO,Miles S. Nadal
98,Alibaba Shows Off Gadgets on Singles' Day  https://t.co/GNelzS8wv6,Miles S. Nadal
99,SoftBank mobile unit IPO to raise more than $20 billion https://t.co/jyLMujGfSl,Miles S. Nadal
100,From 60 Minutes: The brotherly love that helped Shaquem Griffin make it to the NFL as a one-handed player. ?… https://t.co/ECwPrNsIiC,Miles S. Nadal
101,"Ideas for a Better You | PragerU - ?@prageru? don’t compare yourself with others, this is a superb five minute vide… https://t.co/mtFnuxVOmL",Miles S. Nadal
102,RT @Israel: ? Get ready for these 7 Israeli inventions that truly revolutionize our world! https://t.co/st8tTFqpcr,Miles S. Nadal
103,"RT @HarvardBiz: Managers tend to think they’re coaching when they’re actually just telling their employees what to do
https://t.co/9hMTEaW8…",Miles S. Nadal
104,RT @SeanSilcoff: Dragon’s Den star Michele Romanow and partner Andrew D’Souza raise US$70-million for startup Clearbanc that finances e-com…,Miles S. Nadal
105,RT @Sports_Greats: If you are afraid of failure you don't deserve to be successful! -Charles Barkley,Miles S. Nadal
106,Uber shows us that technology is political – not neutral - The Globe and Mail https://t.co/1x1i2Hl11i,Miles S. Nadal
107,"RT @_SJPeace_: This celebrity barber gives free haircuts to the homeless.

This is awesome. HE IS A HERO.

RETWEET THIS ?? https://t.co/NXN…",Miles S. Nadal
108,RT @Sports_Greats: Accept challenges so that you may feel the exhilaration of victory. -Unknown,Miles S. Nadal
109,"RT @60Minutes: Loaded with undeniable skill, an unyielding will and an ironclad pact made with his twin brother, Shaquem Griffin is playing…",Miles S. Nadal
110,"RT @HarvardBiz: Before you try to coach someone, ask if they’re interested in improving
https://t.co/27yYA1it7n",Miles S. Nadal
111,RT @Sports_Greats: The only thing that follows work is results. - Ray Lewis,Miles S. Nadal
112,"RT @VaultraStorage: Remembering all those who have made sacrifices, especially their lives. Lest we forget. #RemembranceDay2018 #Rememberan…",Miles S. Nadal
113,RT @PeerageCapital: It was an honour to host Canada's 22nd PM @stephenharper for an engaging discourse with @PeerageCapital and @PeerageRea…,Miles S. Nadal
114,RT @Sports_Greats: Nobody is going to put a limit on what I'm doing. -Michael Phelps,Miles S. Nadal
115,"RT @Sports_Greats: In every contest, there comes a moment that separates winning from losing. The true warrior understands and seizes that…",Miles S. Nadal
116,RT @CNBC: Former Starbucks chief Howard Schultz is putting together an elite PR team that includes former McCain presidential campaign advi…,Miles S. Nadal
117,RT @Sports_Greats: The only workout you'll ever regret is the one you didn't do.,Miles S. Nadal
118,"RT @chestnutpark: #FeaturedProperty Located in the prestigious Evergreen Estates, this custom-built ranch bungalow known as “Nature’s Haven…",Miles S. Nadal
119,"RT @PeerageRealty: Our founder @milesnadal enjoying a wonderful visit to the @MilesNadalJCC yesterday

#MilesNadal #JCC #philanthropy #Toro…",Miles S. Nadal
120,Monster shares plunge as Coke plans energy-drink https://t.co/MkCtzN8s30,Miles S. Nadal
121,RT @Sports_Greats: The superior man blames himself. The inferior man blames others. -Don Shula,Miles S. Nadal
122,RT @Sports_Greats: I do it because I can. I can because I want to. I want to because you said I couldn't.,Miles S. Nadal
123,RT @stephenharper: Thank you to my friends and @Dentons colleagues PM Chrétien and Former US Ambassador Gordon Giffin for a great discussio…,Miles S. Nadal
124,https://t.co/ra4O5LjBZj,Miles S. Nadal
125,Ford Acquires Electric Scooter Startup Spin  https://t.co/d1AQyU105h,Miles S. Nadal
126,"RT @Sports_Greats: Leadership, like coaching, is fighting for the hearts and souls of men and getting them to believe in you. -Eddie Robins…",Miles S. Nadal
127,RT @Sports_Greats: Nobody's a natural. You work hard to get good and then work to get better. -Paul Coffey,Miles S. Nadal
128,"RT @SelfSte: Snow is on it's way this Friday. We're ready , are you?
#putstuffaway #winterstorage #seasonalstorage https://t.co/eqOE62vCEi",Miles S. Nadal
129,"RT @VaultraStorage: If you're in Niagara Falls near Vaultra Self Storage 6550 Oakwood Dr, Niagara Falls, ON, stop in! I have extra Timbits…",Miles S. Nadal
130,"RT @Sports_Greats: The hardest thing about exercise is to start doing it. Once you are doing exercise regularly, the hardest thing is to st…",Miles S. Nadal
131,RT @VaultraStorage: Is your closet resembling the photo? Need some space to store seasonal clothing? Come on in to Vaultra Self Storage and…,Miles S. Nadal
132,"Amazon Close to Agreements for HQ2 in New York, Northern Virginia  https://t.co/wnupTAtg2c",Miles S. Nadal
133,How Bill Gates Aims to Save $233 Billion by Reinventing the Toilet  https://t.co/CcEM4crDj7,Miles S. Nadal
134,Cirque du Soleil founder Guy Laliberté eyes a comeback with new business bets https://t.co/eJY5HQpwf8,Miles S. Nadal
135,"RT @IanJamesPoulter: Heading out to watch Luke play 18 holes today.. Work in progress, Next generation is fun to watch. Come on Luke let’s…",Miles S. Nadal
136,The $6 Trillion Barrier Holding Electric Cars Back  https://t.co/FguLaZdSeP,Miles S. Nadal
137,YouTube ?@_TML_Updates?  Spectacular win https://t.co/aouLefGH1e,Miles S. Nadal
138,"RT @dherman76: How esports, gambling, and sports betting are converging - VentureBeat https://t.co/Oui3LqA9OA by @deantak via @nuzzel thank…",Miles S. Nadal
139,"Amazon reportedly eyes Northern VA as its 2nd headquarters, and a final decision is 'close' https://t.co/oVvzXyKPyb",Miles S. Nadal
140,Solving Canada’s startup dilemma https://t.co/3sVODohamQ,Miles S. Nadal
141,RT @chestnutpark: Welcome to #ForestHill! Did you know this is our new home? One of our offices moved in a couple months ago https://t.co/S…,Miles S. Nadal
142,"Buffett Shows His Appetite for Buying Stocks, Including His Own  https://t.co/fvuAGaSJh2",Miles S. Nadal
143,"Canada's support for Israel is 'ironclad,' Foreign Minister says https://t.co/haxMEm4WEb",Miles S. Nadal
144,"Canada Goose steps into footwear, as global expansion hits Vancouver, via @FinancialPost https://t.co/QdKH6vEzDV",Miles S. Nadal
145,The hockey world is – increasingly – in awe of Connor McDavid https://t.co/0rwYxEZCfk,Miles S. Nadal
146,Crypto Firm Tether Says It Has $1.8 Billion in Bahamian Bank  https://t.co/C4DaLKoiBJ,Miles S. Nadal
147,KKR is close to buying addiction-treatment chain https://t.co/D5cKNsAfof,Miles S. Nadal
148,Ontario Teachers' Pension Plan veterans launch Peloton private-equity fund https://t.co/D1ady9RK26,Miles S. Nadal
149,RT @CNBC: IBM is paying $34 billion for a company that was founded by an unemployed guy working in a closet. via @CNBCMakeIt https://t.co/F…,Miles S. Nadal
150,"RT @Sports_Greats: Pressure can burst a pipe, or pressure can make a diamond. -Robert Horry",Miles S. Nadal
151,"RT @Sports_Greats: I don't do things HALF-HEARTEDLY. Because I know if I do, then I can expect HALF-HEARTED results. -Michael Jordan",Miles S. Nadal
152,RT @LindaFrum: Tomorrow is the big night. #TeamFrum https://t.co/RInr6TyMfO,Miles S. Nadal
153,RT @Sports_Greats: Yesterday's home runs don't win today's games. -Babe Ruth,Miles S. Nadal
154,"RT @chestnutpark: #FeaturedProperty: 474852 Dodge Line, South-West, Oxford is a perfect country home just 90 minutes from downtown Toronto.…",Miles S. Nadal
155,RT @autostradamag: Having a blast down at SEMA so far! The scale of this show is incredible. Lots of amazing builds on the floor and action…,Miles S. Nadal
156,RT @chestnutpark: The #Muskoka real estate market report for January-September 2018 is live https://t.co/3XfJeqwVcq,Miles S. Nadal
157,?@stephenharper? ?@PeerageCapital? ?@PeerageRealty? ?@EchelonWealth? ?@chestnutpark? ?? Thank you prime minister Ha… https://t.co/PPCkSsafMo,Miles S. Nadal
158,RT @MilesNadalJCC: Excited to share with all of you a new initiative--Lishma: Jewish Learning Project seeks to bring together a community o…,Miles S. Nadal
159,@MilesNadalJCC Wonderful initiative,Miles S. Nadal
160,RT @MilesNadalJCC: Join us as we come together to heal and reflect on the tragic loss of life in Pittsburgh. Our Candlelight Yoga will be h…,Miles S. Nadal
161,"YouTube The best tips for innovation by Jack Ma, in a speech delivered at the Peres centre in Tel Aviv Israel https://t.co/sOWaH7Wgke",Miles S. Nadal
162,YouTube ?@business? Michael Milken. Fabulous Interview  https://t.co/gDZ0mIwvju,Miles S. Nadal
163,Warren Buffett Takes on Sheldon Adelson in Billionaire Feud Over Vegas Lights  https://t.co/uFEWcoVqym,Miles S. Nadal
164,RT @Sports_Greats: Work = Love = Glory https://t.co/khv9STDRYv,Miles S. Nadal
165,"RT @Sports_Greats: Make the present good, and the past will take care of itself. -Knute Rockne",Miles S. Nadal
166,RT @Sports_Greats: The real glory is being knocked to your knees and then coming back. That's real glory. -Vince Lombardi,Miles S. Nadal
167,"Bezos Sets New Wealth Record, Losing $19.2 Billion Over Two Days  https://t.co/jFYUZkQcR1",Miles S. Nadal
168,Great Quote https://t.co/i66K5DhRpn,Miles S. Nadal
169,https://t.co/scblbkKoiL,Miles S. Nadal
170,Brookfield nearing deal for Johnson Controls power solutions business @Brookfield  https://t.co/9IdjOK99tl,Miles S. Nadal
171,American Apparel launching comeback with online store and a Canadian owner https://t.co/SGCGl4a2cn,Miles S. Nadal
172,RT @Sports_Greats: I'm not sure what my future holds... But I know who holds it.,Miles S. Nadal
173,"RT @Sports_Greats: If you're not making mistakes, then you're not doing anything. -John Wooden",Miles S. Nadal
174,RT @Sports_Greats: Instead of giving myself reasons why I can't I give myself reasons why I CAN.,Miles S. Nadal
175,Tel Aviv unveils Eurovision 2019 slogan: Dare to Dream | The Jerusalem post ?@Israel?  https://t.co/r3gLSiPpdc,Miles S. Nadal
176,Pittsburgh synagogue shooting crushes Steve Kerr: We’re broken ?@SteveKerr?  https://t.co/RniTxHj5x6,Miles S. Nadal
177,"Ideas for a Better You | PragerU , The missing tile syndrome. Amazing !!!! ?@prageru? ?@DennisPrager?  https://t.co/ibhPtNkcCv",Miles S. Nadal
178,"This is incredible, and one of my favourite videos of all time, “, don’t compare yourself to others “         Ideas… https://t.co/MbCCwh7UB0",Miles S. Nadal
179,Adam Carolla: Don't Make Things Worse | PragerU https://t.co/gFLQNuP6VA,Miles S. Nadal
180,Three U.S. cannabis firms raise nearly $1-billion ahead of Canadian stock listings https://t.co/2FERICvHwO,Miles S. Nadal
181,"RT @CNBC: Bill Gates, Elon Musk and Mark Cuban quit these 3 bad habits before they became successful. Here's how you can too. via @CNBCMake…",Miles S. Nadal
182,"RT @Sports_Greats: I don't want perfection, I want effort. -Unknown",Miles S. Nadal
183,"RT @HarvardBiz: Managers must move from directive to instructive, restrictive to expansive, and exclusive to inclusive
https://t.co/uD0n9t4…",Miles S. Nadal
184,RT @LindaFrum: The news out of Pittsburgh is devastating beyond belief.  It seems no community anywhere is safe from the scourage of antise…,Miles S. Nadal
185,RT @PeerageCapital: We can't wait to see the new office @chestnutpark! https://t.co/6LoI2mxfAG,Miles S. Nadal
186,"RT @StreetCity_SSM: What an amazing day this was a year ago! New beginnings, we can’t help but be proud for all the changes that were happe…",Miles S. Nadal
187,RT @Sports_Greats: Sure the fight was fixed. I fixed it with a right hand. -George Foreman,Miles S. Nadal
188,RT @Sports_Greats: The strength of the group is the strength of the leaders. -Vince Lombardi,Miles S. Nadal
189,"RT @Sports_Greats: Success isn't something that just happens - success is learned, success is practiced and then it is shared. -Sparky Ande…",Miles S. Nadal
190,https://t.co/25FxSWb9Pz,Miles S. Nadal
191,YouTube https://t.co/hwZqPlu1xO,Miles S. Nadal
192,"RT @stephenharper: Congratulations to all @CPC_HQ alumni who won local Ontario elections on Monday, particularly former Cabinet Minister, n…",Miles S. Nadal
193,RT @Sports_Greats: Strength does not come from winning. Your struggles develop your strengths. -Arnold Schwarzenegger,Miles S. Nadal
194,"RT @Forbes: These are the best places for business and careers in 2018:
https://t.co/SmIHCnIzFM https://t.co/LtnbOjL7x6",Miles S. Nadal
195,"Quants Play Elliptical Golf, Toast Ex-Baltimore Raven John Urschel at Math Gala  https://t.co/Wou7Cpb4ot",Miles S. Nadal
196,How Blackstone Landed $20 Billion From Saudis for New Fund  https://t.co/vXkp8hNHOF,Miles S. Nadal
197,"RT @Emblem_Corp: We remain committed to our patients, with allocated inventory to ensure our patients have access to the products they need…",Miles S. Nadal
198,"RT @HarvardBiz: Men who want to be better allies to women should start by listening more than they talk
https://t.co/QklkPrJ4sy",Miles S. Nadal
199,Ex-NBA player could strike deal to buy Sports Illustrated https://t.co/ZPR2rntjAB,Miles S. Nadal
200,Seahawks' Sale Price Could Take a Hit After IRS Denies Tax Break  https://t.co/21cGwssapE,Miles S. Nadal
201,"RT @TamarackNorth: Our @chestnutpark construction project, in downtown Port Carling Ontario, served these bistro patrons a very unique lunc…",Miles S. Nadal
202,Paul Allen cause of death: Septic shock related to lymphoma https://t.co/If1jUSmf0D,Miles S. Nadal
203,World Series matchup offers contrasting visions of America’s pastime https://t.co/lJzKKFP5hJ,Miles S. Nadal
204,Lampert reportedly seeks partner for Sears bankruptcy financing https://t.co/RT6lpCO8U4,Miles S. Nadal
205,The faces of American corporate courage https://t.co/LCwOqVTMeF,Miles S. Nadal
206,Facebook reportedly aims to buy a 'major' cybersecurity company https://t.co/bhnVsFO7T6,Miles S. Nadal
207,"RT @chestnutpark: Love going for a bike ride? If you plan on traveling, you can enjoy biking in these cities https://t.co/mGow7ARivt",Miles S. Nadal
208,Fiat to Sell High-Tech Car-Parts Arm Magneti Marelli to KKR's Calsonic  https://t.co/QQkHOYNC11,Miles S. Nadal
209,Think Nike’s woke? Phil Knight’s castration of the University of Oregon might change your mind https://t.co/oeBeUhF9NY,Miles S. Nadal
210,"RT @CNBC: The interview question billionaire Peter Thiel swears by: ""Tell me something that's true that almost nobody agrees with you on.""…",Miles S. Nadal
211,"RT @HarvardBiz: The best way to delegate a task is to imagine you’re training your replacement
https://t.co/i3D5sjwT7g",Miles S. Nadal
212,"RT @Hinchtown: Oh man, sorry that I missed being at the #USGP to see Kimi take a much deserved win!! You can tell he was thrilled by the al…",Miles S. Nadal
213,Fiat to Sell High-Tech Car-Parts Arm Magneti Marelli to KKR's Calsonic  https://t.co/QQkHOZ5cSz,Miles S. Nadal
214,"Lincoln, heading out on a Sunday morning https://t.co/TEaBQxb8HB",Miles S. Nadal
215,RT @CNBCi: Elon Musk asks this simple interview question to tell when an applicant is lying https://t.co/g00iEyNLDK,Miles S. Nadal
216,"RT @CNBC: Bill Gates, Elon Musk and Mark Cuban quit these 3 bad habits before they became successful. Here's how you can too. via @CNBCMake…",Miles S. Nadal
217,"RT @Inc: We need to talk about the woman who runs Derek Jeter's ""The Players' Tribune"" https://t.co/vQQsGLp8RP",Miles S. Nadal
218,"“ If the cup is in full, add water” - Tory Burch @toryburch @SarahNadal5",Miles S. Nadal
219,"RT @Sports_Greats: In this life, you don't have to prove nothin' to nobody but yourself. -""Rudy""",Miles S. Nadal
220,"RT @googlepartners: .@ymedialabs do an awesome job of breaking down the future impact of AR on you, your business, and the world » https://…",Miles S. Nadal
221,RT @Sports_Greats: Dedication + Hard Work + No excuses + God = Success,Miles S. Nadal
222,"RT @Sports_Greats: If you put in the work, the results will come. -Michael Jordan",Miles S. Nadal
223,RT @Hinchtown: #EhTeam for life ?? https://t.co/0MgtSTNKVP,Miles S. Nadal
224,"RT @NickRDean: Loved chatting with @CP24 this afternoon about @emblemcannabis plans to meet @SymblCannabis consumer demand, one day after l…",Miles S. Nadal
225,Golden Nugget Casinos owner intrigued by Caesars merger possibilities https://t.co/3MWuPGWGQH,Miles S. Nadal
226,RT @CNBC: Ex-Fed chief Greenspan: This is the tightest labor market I've ever seen https://t.co/gmJTx9pdeL,Miles S. Nadal
227,"RT @Inc: Want to Get Rich? Instead of Trying to Get Rich, Do This 1 Thing @jeff_haden https://t.co/YlzTFCuXe4",Miles S. Nadal
228,"RT @Sports_Greats: If you train hard, you'll not only be hard, you'll be hard to beat. -Herschel Walker",Miles S. Nadal
229,"RT @HarvardBiz: More doctors should be formally trained in leadership. Here’s why
https://t.co/nJuxnfuzln",Miles S. Nadal
230,RT @Sports_Greats: Keep pushing yourself forward. Do whatever it takes. You'll soon leap over the final hurdle and land right where you wan…,Miles S. Nadal
231,"RT @HarvardBiz: Passion and motivation go a long way when interviewing for a job
https://t.co/iYc6gjiNiz",Miles S. Nadal
232,"The David Rubenstein Show, Peer to Peer Conversations  https://t.co/NJbAVocpPp",Miles S. Nadal
